entidad,clase_especifica
http://example.org/biointegrate/expression/HGNC_6388_TCGA-LGG_da13446a-c4dc-4d02-80c8-410273925ac4,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6388_TCGA-LGG_dadd7428-9e4d-4652-9469-ab521b88d529,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6388_TCGA-LGG_e6c55ba6-4c8a-4ea4-8dde-74d01915db02,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6388_TCGA-LGG_e7fdf164-a85d-4ff5-9676-d2215ca35403,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6388_TCGA-LGG_ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-GBM_3ed101b5-0007-4957-a25d-4cf43bde08b6,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-GBM_3f960d3b-a58c-43d0-a8a4-f3555b399c9d,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-GBM_407849a8-8447-4ede-a9d1-c1dfb535222e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-GBM_41685c5a-a548-483a-8a20-305ad8d61771,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-LGG_a56c2083-33d5-4c98-b85f-3b68a3d80add,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-LGG_a5f851c5-6130-4ea1-9f86-be59331a92f7,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-LGG_d209cffc-fe21-4ae7-b610-e5668ea84a3b,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-LGG_d3d8987d-0a54-45f8-b9c9-17ec89fa864e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-LGG_d50e944a-3ce4-4632-a878-118499e143e3,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-LGG_da13446a-c4dc-4d02-80c8-410273925ac4,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-LGG_dadd7428-9e4d-4652-9469-ab521b88d529,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-LGG_e6c55ba6-4c8a-4ea4-8dde-74d01915db02,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-LGG_e7fdf164-a85d-4ff5-9676-d2215ca35403,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_6769_TCGA-LGG_ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-GBM_3ed101b5-0007-4957-a25d-4cf43bde08b6,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-GBM_3f960d3b-a58c-43d0-a8a4-f3555b399c9d,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-GBM_407849a8-8447-4ede-a9d1-c1dfb535222e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-GBM_41685c5a-a548-483a-8a20-305ad8d61771,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-LGG_a56c2083-33d5-4c98-b85f-3b68a3d80add,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-LGG_a5f851c5-6130-4ea1-9f86-be59331a92f7,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-LGG_d209cffc-fe21-4ae7-b610-e5668ea84a3b,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-LGG_d3d8987d-0a54-45f8-b9c9-17ec89fa864e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-LGG_d50e944a-3ce4-4632-a878-118499e143e3,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-LGG_da13446a-c4dc-4d02-80c8-410273925ac4,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-LGG_dadd7428-9e4d-4652-9469-ab521b88d529,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-LGG_e6c55ba6-4c8a-4ea4-8dde-74d01915db02,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-LGG_e7fdf164-a85d-4ff5-9676-d2215ca35403,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7211_TCGA-LGG_ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-GBM_3ed101b5-0007-4957-a25d-4cf43bde08b6,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-GBM_3f960d3b-a58c-43d0-a8a4-f3555b399c9d,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-GBM_407849a8-8447-4ede-a9d1-c1dfb535222e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-GBM_41685c5a-a548-483a-8a20-305ad8d61771,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-LGG_a56c2083-33d5-4c98-b85f-3b68a3d80add,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-LGG_a5f851c5-6130-4ea1-9f86-be59331a92f7,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-LGG_d209cffc-fe21-4ae7-b610-e5668ea84a3b,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-LGG_d3d8987d-0a54-45f8-b9c9-17ec89fa864e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-LGG_d50e944a-3ce4-4632-a878-118499e143e3,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-LGG_da13446a-c4dc-4d02-80c8-410273925ac4,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-LGG_dadd7428-9e4d-4652-9469-ab521b88d529,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-LGG_e6c55ba6-4c8a-4ea4-8dde-74d01915db02,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-LGG_e7fdf164-a85d-4ff5-9676-d2215ca35403,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_7539_TCGA-LGG_ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-GBM_3ed101b5-0007-4957-a25d-4cf43bde08b6,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-GBM_3f960d3b-a58c-43d0-a8a4-f3555b399c9d,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-GBM_407849a8-8447-4ede-a9d1-c1dfb535222e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-GBM_41685c5a-a548-483a-8a20-305ad8d61771,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-LGG_a56c2083-33d5-4c98-b85f-3b68a3d80add,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-LGG_a5f851c5-6130-4ea1-9f86-be59331a92f7,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-LGG_d209cffc-fe21-4ae7-b610-e5668ea84a3b,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-LGG_d3d8987d-0a54-45f8-b9c9-17ec89fa864e,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-LGG_d50e944a-3ce4-4632-a878-118499e143e3,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-LGG_da13446a-c4dc-4d02-80c8-410273925ac4,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-LGG_dadd7428-9e4d-4652-9469-ab521b88d529,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-LGG_e6c55ba6-4c8a-4ea4-8dde-74d01915db02,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-LGG_e7fdf164-a85d-4ff5-9676-d2215ca35403,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/expression/HGNC_9017_TCGA-LGG_ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,http://example.org/biointegrate/ExpressionMeasurement
http://example.org/biointegrate/gene/HGNC_11522,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_11580,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_14964,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_1546,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_16823,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_17989,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_1858,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_1976,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_23503,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_26684,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_6769,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_1069,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_17136,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_20308,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_29363,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_30132,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_385,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_6388,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_7211,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_7539,http://example.org/biointegrate/Gene
http://example.org/biointegrate/gene/HGNC_9017,http://example.org/biointegrate/Gene
http://example.org/biointegrate/case/3ed101b5-0007-4957-a25d-4cf43bde08b6,http://example.org/biointegrate/Case
http://example.org/biointegrate/case/3f960d3b-a58c-43d0-a8a4-f3555b399c9d,http://example.org/biointegrate/Case
http://example.org/biointegrate/case/407849a8-8447-4ede-a9d1-c1dfb535222e,http://example.org/biointegrate/Case
http://example.org/biointegrate/case/41685c5a-a548-483a-8a20-305ad8d61771,http://example.org/biointegrate/Case
http://example.org/biointegrate/case/a56c2083-33d5-4c98-b85f-3b68a3d80add,http://example.org/biointegrate/Case
http://example.org/biointegrate/case/a5f851c5-6130-4ea1-9f86-be59331a92f7,http://example.org/biointegrate/Case
http://example.org/biointegrate/case/e6c55ba6-4c8a-4ea4-8dde-74d01915db02,http://example.org/biointegrate/Case
http://example.org/biointegrate/case/e7fdf164-a85d-4ff5-9676-d2215ca35403,http://example.org/biointegrate/Case
http://example.org/biointegrate/case/ec82a00f-3909-4781-8ae2-e54cbc1ac7ac,http://example.org/biointegrate/Case
http://example.org/biointegrate/project/TCGA-GBM,http://example.org/biointegrate/Project
http://example.org/biointegrate/project/TCGA-LGG,http://example.org/biointegrate/Project
